taxonomy_name,dataset_name,num_classes
weigand2021artifact_tx001.ttl,weigand2021artifact,4
weigand2021artifact_tx002.ttl,weigand2021artifact,3
weigand2021artifact_tx003.ttl,weigand2021artifact,14
weigand2021artifact_tx004.ttl,weigand2021artifact,3
weigand2021artifact_tx005.ttl,weigand2021artifact,2
weigand2021artifact_tx006.ttl,weigand2021artifact,4
weigand2021artifact_tx007.ttl,weigand2021artifact,5
weigand2021artifact_tx008.ttl,weigand2021artifact,2
