execution_number,input_class_name,input_class_stereotype
1,Chamber,category
2,HeartAsBloodContainer,role
3,HeartAsPump,kind
4,HumanBody,kind
5,HumanHeart,kind
6,LeftAtrium,kind
7,LeftAtriumAsBloodContainer,role
8,LeftAtriumAsPump,role
9,LeftVentricle,kind
10,LeftVentricleAsBloodContainer,role
11,LeftVentricleAsPump,role
12,Muscle,category
13,RightAtrium,kind
14,RightAtriumAsBloodContainer,role
15,RightAtriumAsPump,role
16,RightVentricle,kind
17,RightVentricleAsBloodContainer,role
18,RightVentricleAsPump,role
