class_name,class_original_classification,classification_final_list
Client_Path_Layer,role,is
Client_Section_Layer,role,is
Composed_PM_Layer,role,can
LC_Composed_Layer_Network,role,is
Layer_Network,kind,is
Matrix_Composed_Path_Layer,role,is
Path-Path_Client_Layer,role,is
Path-Section_Client_Layer,role,is
Path_Layer_Network,role,can
Path_Layer_Network_2,subkind,is
Physical_Media_Layer_Network,subkind,can
Related_Layer_Network,role,is
Section_Layer_Network,subkind,is
Server_Path_Layer,role,is
Server_Physical_Media_Layer,role,is
Server_Section_Layer,role,is
Subnetwork_Composed_Path_Layer,role,is
Transmission_Media_Layer_Network,subkind,is
