execution_number,input_class_name,input_class_stereotype
1,Composite_Moviment,subkind
2,Dance-like_Moviment,phase
3,Fast_Moviment,phase
4,Individual_Moviment,subkind
5,Long_Moviment,phase
6,Moviment,kind
7,Short_Moviment,phase
8,Slow_Moviment,phase
9,Suite_Short_Moviment,role
