class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Article,kind,kind,True,False,False,0,9
Article_component_of_Chapter,subkind,subkind,False,True,False,1,0
Article_component_of_Section,subkind,subkind,False,True,False,1,0
Article_composed_of_Item,subkind,subkind,False,True,False,2,0
Article_composed_of_Paragraph,subkind,subkind,False,True,False,2,0
Composed_Article,subkind,subkind,False,False,True,1,2
Duration_Clause,subkind,subkind,False,True,False,1,0
Ordinary_Article,subkind,subkind,False,True,False,1,0
Revocation_Clause,subkind,subkind,False,True,False,1,0
Simple_Article,subkind,subkind,False,True,False,1,0
