percentage,execution_number
25,5
30,3
45,4
50,2
50,4
50,5
55,5
60,2
60,4
65,1
65,2
65,4
65,5
70,3
75,1
75,3
75,4
80,2
80,3
80,5
85,1
85,2
85,3
85,4
85,5
90,1
90,2
90,3
90,5
95,1
95,2
95,3
95,4
95,5
