class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
ActiveAgent,mixin,mixin,False,False,True,1,2
ActiveOrganization,phase,phase,False,True,False,3,0
Agent,category,category,True,False,False,0,16
Band,subkind,subkind,False,True,False,3,0
Band_Member,role,role,False,True,False,4,0
Deceased_Person,phase,phase,False,True,False,2,0
ExtinctOrganization,phase,phase,False,True,False,2,0
Father,role,role,False,True,False,4,0
Female_Person,subkind,subkind,False,False,True,2,1
Individual_Artist,role,role,False,False,True,3,1
Living_Person,phase,phase,False,True,False,3,0
Male_Person,subkind,subkind,False,False,True,2,1
Mother,role,role,False,True,False,4,0
Offspring,role,role,False,True,False,2,0
Organization,kind,kind,False,False,True,1,3
Parent,role,role,False,False,True,2,2
Performer_Artist,mixin,mixin,True,False,False,0,3
Person,kind,kind,False,False,True,1,10
