execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.4100223779678345e-05,0.004438100382685661,9.60053876042366e-06,6.100162863731384e-06,5.8002769947052e-06,5.700159817934036e-06,0.0007010996341705322,7.959967479109764e-05,1.8998980522155762e-06,0.0030260998755693436,8.699996396899223e-05,7.71000050008297e-05,4.8996880650520325e-06,1.2299977242946625e-05,9.800028055906296e-05,0.008567400742322206
2,9.900424629449844e-06,8.84002074599266e-05,1.0900665074586868e-05,6.0996972024440765e-06,0.001123699825257063,6.9998204708099365e-06,5.09992241859436e-06,1.12997367978096e-05,2.100132405757904e-06,8.610030636191368e-05,0.006498000118881464,0.031923099886626005,0.0009128996171057224,1.3899989426136017e-05,0.007985999807715416,0.0486845001578331
3,1.0600313544273376e-05,0.004537900444120169,1.0099727660417557e-05,6.400048732757568e-06,5.8002769947052e-06,6.00004568696022e-06,0.0007301000878214836,8.79000872373581e-05,1.8998980522155762e-06,0.003091000020503998,9.230012074112892e-05,8.230004459619522e-05,5.09992241859436e-06,1.250067725777626e-05,0.00010229973122477531,0.008782201446592808
4,1.0400079190731049e-05,0.004348100163042545,9.700190275907516e-06,5.999580025672913e-06,5.600042641162872e-06,5.6996941566467285e-06,0.0007027001120150089,8.269958198070526e-05,1.6996636986732483e-06,0.002972099930047989,8.449982851743698e-05,7.92001374065876e-05,4.999805241823196e-06,1.2200325727462769e-05,9.66005027294159e-05,0.00842219963669777
5,1.0500196367502213e-05,0.004436000250279903,9.899958968162537e-06,5.899928510189056e-06,5.900394171476364e-06,5.700159817934036e-06,0.0007070000283420086,8.019991219043732e-05,1.80024653673172e-06,0.0029775998555123806,8.160015568137169e-05,8.149957284331322e-05,4.999805241823196e-06,1.2500211596488953e-05,9.889993816614151e-05,0.008520000614225864
6,1.039961352944374e-05,0.004259099718183279,9.399838745594025e-06,5.7998113334178925e-06,5.6996941566467285e-06,5.499925464391708e-06,0.0006888001225888729,7.750000804662704e-05,2.100132405757904e-06,0.002915500197559595,8.449982851743698e-05,7.639965042471886e-05,4.699919372797012e-06,1.1899974197149277e-05,9.700004011392593e-05,0.008254298474639654
7,1.039961352944374e-05,0.004366599954664707,9.699724614620209e-06,6.100162863731384e-06,5.899928510189056e-06,8.600298315286636e-06,0.0006920997984707355,8.289981633424759e-05,1.7997808754444122e-06,0.002907100133597851,8.470052853226662e-05,7.670000195503235e-05,4.699919372797012e-06,1.29002146422863e-05,9.730039164423943e-05,0.008367500267922878
8,1.5000347048044205e-05,0.004781599622219801,1.0899733752012253e-05,1.0299962013959885e-05,6.1998143792152405e-06,5.899928510189056e-06,0.0008940999396145344,8.459994569420815e-05,2.500135451555252e-06,0.0038145994767546654,8.750054985284805e-05,7.800012826919556e-05,4.90015372633934e-06,1.6999896615743637e-05,0.00012570014223456383,0.009938799776136875
