execution_number,input_class_name,input_class_stereotype
1,Advento_do_Termo_Contratual,kind
2,Advertência,kind
3,Anulação,kind
4,Anulação_do_Contrato,kind
5,Caducidade,kind
6,Cassação,kind
7,Declaração_de_Caducidade,kind
8,Declaração_de_Inidoneidade,kind
9,Encampação,kind
10,Extinção_da_Concessão_Indenizável,kind
11,Extinção_da_Concessão_Não_Indenizável,kind
12,Extinção_de_Concessão,kind
13,Falência_da_Concessionária,kind
14,Intervenção,kind
15,Multa,kind
16,Penalidade,kind
17,Penalidade_Aplicada,kind
18,Penalidade_Prevista,kind
19,Rescisão,kind
20,Rescisão_do_Contrato,kind
21,Suspensão,kind
