execution_number,input_class_name,input_class_stereotype
1,Obra_Concluída,phase
2,Obra_Conveniada,role
3,Obra_Em_Andamento,role
4,Obra_Não_Iniciada,phase
5,Obra_Paralisada,phase
6,Obra_Planejada,subkind
7,Obra_Planejada_que_Necessita_de_Projeto,subkind
8,Obra_Recebida,role
9,Obra_com_Desapropriação,role
10,Obra_com_Inexecução,role
11,Obra_com_Intervenção,role
12,Obra_com_Licença_Ambiental,role
13,Obra_de_Concessão_Rodoviária,kind
14,Obra_de_Construção,subkind
15,Obra_de_Recuperação,subkind
16,Obra_de_Reparação,subkind
