execution_number,input_class_name,input_class_stereotype
1,Aquisição_de_Permanente,kind
2,Arrendamento,kind
3,Arrendamento_Financeiro,kind
4,Arrendamento_Financeiro_Imobilizado,kind
5,Arrendamento_Financeiro_Intangível,kind
6,Arrendamento_Operacional,kind
7,Cessão_de_Bens,kind
8,Compra_Especulativa,kind
9,Compra_Imobilizado,kind
10,Compra_Intangível,kind
11,Compra_de_Bem,kind
12,Construção,kind
13,Construção_de_Imobilizado,kind
14,Construção_de_Intangível,kind
15,Emissão_de_Debênture,kind
16,Empréstimo,kind
17,Financiamento,kind
18,Investimento_em_Imobilizado,kind
19,Investimento_em_Intangível,kind
20,Obrigação_Financeira,kind
