execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,5,4,0,1,80.0,0.0,20.0,5,0,2,3,0.0,40.0,60.0,70,56,14,70,4,66,80.0,20.0,5.714285714285714,94.28571428571428,-4,2,2,-80.0,40.0,40.0,-52,52,-74.28571428571429,74.28571428571428,1
2,5,4,0,1,80.0,0.0,20.0,5,2,2,1,40.0,40.0,20.0,70,56,14,70,48,22,80.0,20.0,68.57142857142857,31.428571428571427,-2,2,0,-40.0,40.0,0.0,-8,8,-11.42857142857143,11.428571428571427,0
3,5,4,0,1,80.0,0.0,20.0,5,4,0,1,80.0,0.0,20.0,70,56,14,70,56,14,80.0,20.0,80.0,20.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
4,5,4,0,1,80.0,0.0,20.0,5,2,2,1,40.0,40.0,20.0,70,56,14,70,48,22,80.0,20.0,68.57142857142857,31.428571428571427,-2,2,0,-40.0,40.0,0.0,-8,8,-11.42857142857143,11.428571428571427,0
5,5,4,0,1,80.0,0.0,20.0,5,4,0,1,80.0,0.0,20.0,70,56,14,70,56,14,80.0,20.0,80.0,20.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
