execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.2400094419717789e-05,8.270004764199257e-05,9.000767022371292e-06,5.09992241859436e-06,0.000448599923402071,6.100162863731384e-06,4.800036549568176e-06,9.999610483646393e-06,9.999610483646393e-06,7.880013436079025e-05,0.0026422995142638683,0.012636700179427862,0.0003667999990284443,1.0699965059757233e-05,0.002896999940276146,0.019220999907702208
2,0.00016139959916472435,9.33995470404625e-05,1.9999686628580093e-05,1.1700671166181564e-05,0.01106259971857071,1.2499745935201645e-05,9.899958968162537e-06,1.950003206729889e-05,2.1599698811769485e-05,9.119976311922073e-05,0.0028240997344255447,0.009368699509650469,0.0005393000319600105,2.4099834263324738e-05,0.003167100250720978,0.027427097782492638
3,0.0001550000160932541,9.379955008625984e-05,1.8600374460220337e-05,1.0599847882986069e-05,0.011668100021779537,1.2500211596488953e-05,9.499955922365189e-06,1.930026337504387e-05,1.9999686628580093e-05,9.349966421723366e-05,0.0027077007107436657,0.009399300441145897,0.0005475999787449837,2.1600164473056793e-05,0.0029889000579714775,0.02776600094512105
4,0.00015259999781847,8.929939940571785e-05,1.899944618344307e-05,1.12997367978096e-05,0.01116760028526187,1.1899974197149277e-05,9.29972156882286e-06,1.890026032924652e-05,2.020038664340973e-05,8.820043876767159e-05,0.0026189000345766544,0.009238300379365683,0.0005287001840770245,2.16006301343441e-05,0.0028753001242876053,0.02687110099941492
