execution_number,input_class_name,input_class_stereotype
1,Crowdfunding_Platform_(Haas_and_Blohm__2014),subkind
2,Digital_Marketplace_(T�usher_and_Laudien_2018),subkind
3,Digital_Platform_(Offering),subkind
4,Investment_Platform_(Evans_and_Gawer_2016),subkind
5,Multi-Sided_Platform_(Hagiu_and_Wright_2015),subkind
6,Multi-Sided_Transaction_platform_(Evans_and_Gawer_2016),subkind
7,On-Demand_Platform_(Mamonova_2018),subkind
8,One-Sided_Platform,subkind
9,One-Sided_Platform_(Filistrucchi_et_al._2014),subkind
10,P2P_Sharing_and_CC_Platform_(Chasin_et_al._2018),subkind
11,Second-Hand_P2P_platform_(Acquier_et_al._2017),subkind
12,Sharing_Platform_(Frenken_and_Schor__2017),subkind
13,Two-Sided_Platform,subkind
