class_name,class_original_classification,classification_final_list
Agriculture,subkind,is
Arts,subkind,can
AstronomicalTheory,subkind,is
Biology,subkind,is
Botany,subkind,is
Dance,subkind,is
Ethics,subkind,is
FirstPhilosophy-Metaphysics,subkind,can
Mathematics,subkind,can
Medicine,subkind,is
Music,subkind,can
NaturalPhilosophy-Physics,subkind,can
Politics,subkind,can
PracticalSciences,kind,is
ProductiveSciences,kind,is
Psychology,subkind,can
Science-Knowledge,category,is
Ship-building,subkind,can
SpecialSciences,subkind,can
Theatre,subkind,is
TheoreticalSciences,kind,can
