execution_number,input_class_name,input_class_stereotype
1,EvacuationOrganization,subkind
2,FloodDefenseManager,role
3,FloodDefenseMeasuresImplementer,role
4,FloodDefenseOrganization,subkind
5,FloodEvacuationImplementer,role
6,FloodEvacuationManager,role
7,FloodForecaster,role
8,FloodManagementOrganization,subkind
9,HighWaterController,role
10,HighWaterProtectionImplementer,role
11,HighWaterProtectionMeasureEvaluator,role
12,Organization,kind
13,WeatherForecaster,role
14,WeatherOrganization,subkind
