taxonomy_name,dataset_name,num_classes
aristotle-ontology2019_tx001.ttl,aristotle-ontology2019,5
aristotle-ontology2019_tx002.ttl,aristotle-ontology2019,5
aristotle-ontology2019_tx003.ttl,aristotle-ontology2019,7
aristotle-ontology2019_tx004.ttl,aristotle-ontology2019,6
aristotle-ontology2019_tx005.ttl,aristotle-ontology2019,9
aristotle-ontology2019_tx006.ttl,aristotle-ontology2019,5
aristotle-ontology2019_tx007.ttl,aristotle-ontology2019,3
aristotle-ontology2019_tx008.ttl,aristotle-ontology2019,5
aristotle-ontology2019_tx009.ttl,aristotle-ontology2019,5
aristotle-ontology2019_tx010.ttl,aristotle-ontology2019,5
aristotle-ontology2019_tx011.ttl,aristotle-ontology2019,7
aristotle-ontology2019_tx012.ttl,aristotle-ontology2019,6
aristotle-ontology2019_tx013.ttl,aristotle-ontology2019,6
aristotle-ontology2019_tx014.ttl,aristotle-ontology2019,4
aristotle-ontology2019_tx015.ttl,aristotle-ontology2019,21
aristotle-ontology2019_tx016.ttl,aristotle-ontology2019,5
aristotle-ontology2019_tx017.ttl,aristotle-ontology2019,4
aristotle-ontology2019_tx018.ttl,aristotle-ontology2019,5
aristotle-ontology2019_tx019.ttl,aristotle-ontology2019,5
aristotle-ontology2019_tx020.ttl,aristotle-ontology2019,3
aristotle-ontology2019_tx021.ttl,aristotle-ontology2019,3
