execution_number,input_class_name,input_class_stereotype
1,Device,kind
2,ECGDevice,subkind
3,ECGLead,kind
4,ECGLeadBipolarLimb,subkind
5,ECGLeadUnipolar,subkind
6,Sensor,kind
