class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Rush_the_game,kind,kind,False,True,False,2,0,17
Sacrifice,kind,kind,False,True,False,1,0,10
Sadness,kind,kind,True,False,False,0,11,11
Safe_play,kind,kind,False,True,False,2,0,17
Schadenfreud,subkind,subkind,False,True,False,1,0,14
Secret_Unit_Depoyment,kind,kind,False,True,False,2,0,57
Self_objective,kind,kind,False,True,False,1,0,17
Sensory_Pleasure,subkind,subkind,False,True,False,1,0,14
Set_Colection,kind,kind,False,True,False,3,0,57
Simultaneous_Action_Selection,kind,kind,False,True,False,2,0,57
Singing,kind,kind,False,True,False,3,0,57
Small_talk,kind,kind,False,True,False,1,0,5
Sorrow,subkind,subkind,False,True,False,1,0,11
Stock_Holding,kind,kind,False,True,False,3,0,57
Storytelling,kind,kind,False,True,False,3,0,57
Strategic_choices,category,category,False,False,True,1,9,17
Survival_D,kind,kind,False,True,False,2,0,17
Take_That,kind,kind,False,True,False,2,0,57
Teams,kind,kind,False,False,True,2,2,57
Terror,subkind,subkind,False,True,False,1,0,8
Tile,kind,kind,False,True,False,3,0,14
Tile_Placement,kind,kind,False,True,False,2,0,57
Time-Track,kind,kind,False,True,False,3,0,57
Token,kind,kind,False,False,True,2,2,14
Trading,kind,kind,False,True,False,2,0,57
Trepidation,subkind,subkind,False,True,False,1,0,8
Trick-Taking,kind,kind,False,True,False,3,0,57
Variable_Phase_Order,kind,kind,False,True,False,3,0,57
Variable_Player_Powers,kind,kind,False,True,False,4,0,57
Vengefulness,subkind,subkind,False,True,False,1,0,7
Victory_Points,kind,kind,False,True,False,2,0,14
Voting,kind,kind,False,True,False,2,0,57
Wonder,subkind,subkind,False,True,False,1,0,14
