taxonomy_name,dataset_name,num_classes
public-tender_tx001.ttl,public-tender,3
public-tender_tx002.ttl,public-tender,5
public-tender_tx003.ttl,public-tender,2
public-tender_tx004.ttl,public-tender,3
public-tender_tx005.ttl,public-tender,24
public-tender_tx006.ttl,public-tender,2
public-tender_tx007.ttl,public-tender,2
public-tender_tx008.ttl,public-tender,3
public-tender_tx009.ttl,public-tender,2
public-tender_tx010.ttl,public-tender,3
public-tender_tx011.ttl,public-tender,3
public-tender_tx012.ttl,public-tender,2
public-tender_tx013.ttl,public-tender,4
public-tender_tx014.ttl,public-tender,2
public-tender_tx015.ttl,public-tender,2
public-tender_tx016.ttl,public-tender,2
