class_name,class_original_classification,classification_final_list
Absused_Person,role,can
Adult,phase,can
Child,phase,can
Circumstantial_Group,kind,not
Common_Member,role,can
Criminal_Organisation,subkind,can
Deceased_Person,phase,can
Detained,rolemixin,can
Detained_Group,role,can
Detained_person,role,can
Duty-bearer,rolemixin,not
Duty-bearer_representative,role,can
E-OPL:_Complex_Organisation,subkind,can
E-OPL:_Complex_Organisational_Unit,subkind,can
E-OPL:_Multiorganisation,subkind,can
E-OPL:_Organisation,kind,not
E-OPL:_Organisational_Unit,kind,not
E-OPL:_Simple_Organisation,subkind,can
E-OPL:_Simple_Organisational_Unit,subkind,can
E-OPL:_Standalone_Organisation,subkind,can
E-OPL:_Team,kind,not
Ethnic_Group,subkind,can
Force_At_Work,rolemixin,not
Formal_Organisation,subkind,can
Group,category,not
Head_Member,role,can
Human_Rights_Mechanism,subkind,can
Identity_Group,kind,not
Informal_Organisation,subkind,can
Information_Exchange_Record,subkind,can
Legal_Duty-bearer,rolemixin,not
Legal_Perpetrator,rolemixin,not
Legal_Victim,rolemixin,not
Living_Person,phase,can
Material_Absuser,role,can
Monitoring_Event_Participant,role,can
Monitoring_Record,kind,is
Monitoring_Staff,role,can
Moral_Duty-bearer,rolemixin,not
Nation_State,kind,not
Natural_Person,kind,not
Observation_Record,subkind,can
Official_Legal_Process,kind,is
Official_Legal_Record,kind,is
Organisation_Member,role,can
Religious_Group,subkind,can
Rights-holder,rolemixin,not
State_Authority,subkind,can
UFO-A:_Non-Agentive_Substantial,category,can
UFO-A:_Substantial,category,can
UFO-C:_Agent,category,not
UFO-C:_Collective_Social_Agent,category,not
UFO-C:_Human_Agent,category,not
UFO-C:_Institutional_Agent,category,not
UFO-C:_Social_Agent,category,not
UFO-C:_Social_Object,category,can
UFO-C:_Society,kind,not
UFO-L:_Agentive_Legal_Institution,category,not
UFO-L:_Legal_Agent,category,not
UFO-L:_Legal_Object,category,can
UFO-L:_Singular_Legal_Agent,category,not
Witness,role,can
