taxonomy_name,dataset_name,num_classes
ramos2021bias_tx001.ttl,ramos2021bias,5
ramos2021bias_tx002.ttl,ramos2021bias,2
ramos2021bias_tx003.ttl,ramos2021bias,10
ramos2021bias_tx004.ttl,ramos2021bias,2
ramos2021bias_tx005.ttl,ramos2021bias,5
ramos2021bias_tx006.ttl,ramos2021bias,9
ramos2021bias_tx007.ttl,ramos2021bias,3
ramos2021bias_tx008.ttl,ramos2021bias,5
ramos2021bias_tx009.ttl,ramos2021bias,3
