class_name,class_original_classification,classification_final_list
Climbing,subkind,can
Cycling,subkind,can
Hiking,subkind,can
Skiing,subkind,can
Winery_visit,subkind,can
activity,category,is
castel_visit,subkind,can
church_visit,subkind,can
city_center_visit,subkind,is
cultural_visit,kind,is
food_and_wine_tour,kind,is
museum_visit,subkind,can
resturant_visit,subkind,is
sport_activity,kind,is
