taxonomy_name,dataset_name,num_classes
bernasconi2021ontovcm_tx001.ttl,bernasconi2021ontovcm,5
bernasconi2021ontovcm_tx002.ttl,bernasconi2021ontovcm,2
bernasconi2021ontovcm_tx003.ttl,bernasconi2021ontovcm,14
bernasconi2021ontovcm_tx004.ttl,bernasconi2021ontovcm,3
bernasconi2021ontovcm_tx005.ttl,bernasconi2021ontovcm,2
bernasconi2021ontovcm_tx006.ttl,bernasconi2021ontovcm,9
bernasconi2021ontovcm_tx007.ttl,bernasconi2021ontovcm,2
bernasconi2021ontovcm_tx008.ttl,bernasconi2021ontovcm,3
bernasconi2021ontovcm_tx009.ttl,bernasconi2021ontovcm,6
bernasconi2021ontovcm_tx010.ttl,bernasconi2021ontovcm,6
