class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Analyst,role,role,False,True,False,3,0
Animal,category,category,False,False,True,1,8
Author,role,role,False,True,False,4,0
Bat,kind,kind,False,True,False,2,0
Biological_Organism,category,category,True,False,False,0,10
Cell_Line,kind,kind,True,False,False,0,1
In_Vitro_Host,role,role,False,True,False,2,0
Living_Host,rolemixin,rolemixin,False,True,False,3,0
Person,kind,kind,False,False,True,2,4
Project_Participant,role,role,False,True,False,4,0
Researcher,role,role,False,False,True,3,2
Sampled_Animal,historicalrolemixin,rolemixin,False,True,False,2,0
Virus,kind,kind,False,True,False,1,0
Virus_Host,rolemixin,rolemixin,True,False,False,0,2
