execution_number,input_class_name,input_class_stereotype
1,Agent,category
2,Claimed_Hired_Provider,rolemixin
3,Committed_Service_Customer,rolemixin
4,Hired_Service_Provider,rolemixin
5,Service_Customer,rolemixin
6,Service_Provider,rolemixin
7,Service_Provider_On_Negotiation,rolemixin
8,Target_Customer,rolemixin
9,Target_Customer_On_Negotiation,rolemixin
