execution_number,input_class_name,input_class_stereotype
1,Artifact,category
2,Artifact_CI,role
3,Artifact_Copy,category
4,Baseline,subkind
5,CR_Being_Solved,phase
6,Change_Request_(CR),subkind
7,Closed_CR,phase
8,Communicate_CR,phase
9,Composite_Artifact,category
10,Configuration_Audit_Report,subkind
11,Configuration_Item_(CI),rolemixin
12,Configuration_Management_Plan,subkind
13,Deliverable_Product,subkind
14,Document,kind
15,Evaluate_CR,phase
16,Information_Item,kind
17,Item,mixin
18,Model,kind
19,Reviewed_CR,phase
20,Simple_Artifact,category
21,Software_Item,kind
22,Software_Product,kind
23,Solved_CR,phase
