class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
AbioticEntity,category,category,False,False,True,1,15
Air,quantity,kind,False,True,False,2,0
Amazonia,subkind,subkind,False,True,False,4,0
Animal,category,category,False,False,True,2,7
AssistantInCollection,role,role,False,True,False,5,0
Biome,subkind,subkind,False,False,True,3,6
BioticEntity,category,category,False,False,True,1,13
BlackWater,subkind,subkind,False,True,False,4,0
BrackishWater,subkind,subkind,False,True,False,3,0
Caatinga,subkind,subkind,False,True,False,5,0
Capoeira,subkind,subkind,False,True,False,1,0
Cerrado,subkind,subkind,False,True,False,5,0
ClassifiedEntity,role,role,False,True,False,3,0
Clayey,subkind,subkind,False,True,False,3,0
Clearwater,subkind,subkind,False,True,False,4,0
CollectedEntity,role,role,False,True,False,3,0
CostalZone,subkind,subkind,False,True,False,4,0
Ecosystem,kind,kind,False,False,True,1,10
EntityInStudy,role,role,False,False,True,2,2
Field,subkind,subkind,False,True,False,1,0
Forest,subkind,subkind,False,True,False,1,0
Freshwater,subkind,subkind,False,False,True,3,3
Humous,subkind,subkind,False,True,False,3,0
Hydromorphic,subkind,subkind,False,True,False,3,0
Igapo,subkind,subkind,False,True,False,1,0
Litholic,subkind,subkind,False,True,False,3,0
Lowland,subkind,subkind,False,True,False,1,0
MacroEcosystem,subkind,subkind,False,False,True,2,7
MataAtlantica,subkind,subkind,False,True,False,4,0
MaterialEntity,category,category,True,False,False,0,41
MesoEcosystem,subkind,subkind,False,True,False,2,0
MicorEcosystem,subkind,subkind,False,True,False,2,0
Microorganism,category,category,False,True,False,2,0
ObjectClassifier,role,role,False,True,False,4,0
Pantanal,subkind,subkind,False,True,False,4,0
ParticipantInCollection,role,role,False,False,True,4,3
Person,kind,kind,False,False,True,3,6
Plant,category,category,False,True,False,2,0
Researcher,role,role,False,False,True,4,2
ResearcherParticipant,role,role,False,False,True,6,1
ResponsibleForCollection,role,role,False,True,False,7,0
Restinga,subkind,subkind,False,True,False,1,0
Rocky,subkind,subkind,False,True,False,3,0
Saltwater,subkind,subkind,False,True,False,3,0
Sandy,subkind,subkind,False,True,False,3,0
Soil,quantity,kind,False,False,True,2,6
Vegetation,kind,kind,True,False,False,0,8
Water,quantity,kind,False,False,True,2,6
WhiteWater,subkind,subkind,False,True,False,4,0
