taxonomy_name,dataset_name,num_classes
ferreira2015ontoemergeplan_tx001.ttl,ferreira2015ontoemergeplan,3
ferreira2015ontoemergeplan_tx002.ttl,ferreira2015ontoemergeplan,2
ferreira2015ontoemergeplan_tx003.ttl,ferreira2015ontoemergeplan,5
ferreira2015ontoemergeplan_tx004.ttl,ferreira2015ontoemergeplan,3
ferreira2015ontoemergeplan_tx005.ttl,ferreira2015ontoemergeplan,3
ferreira2015ontoemergeplan_tx006.ttl,ferreira2015ontoemergeplan,2
ferreira2015ontoemergeplan_tx007.ttl,ferreira2015ontoemergeplan,61
ferreira2015ontoemergeplan_tx008.ttl,ferreira2015ontoemergeplan,3
ferreira2015ontoemergeplan_tx009.ttl,ferreira2015ontoemergeplan,2
ferreira2015ontoemergeplan_tx010.ttl,ferreira2015ontoemergeplan,3
ferreira2015ontoemergeplan_tx011.ttl,ferreira2015ontoemergeplan,3
ferreira2015ontoemergeplan_tx012.ttl,ferreira2015ontoemergeplan,3
ferreira2015ontoemergeplan_tx013.ttl,ferreira2015ontoemergeplan,4
ferreira2015ontoemergeplan_tx014.ttl,ferreira2015ontoemergeplan,18
ferreira2015ontoemergeplan_tx015.ttl,ferreira2015ontoemergeplan,2
ferreira2015ontoemergeplan_tx016.ttl,ferreira2015ontoemergeplan,3
ferreira2015ontoemergeplan_tx017.ttl,ferreira2015ontoemergeplan,3
ferreira2015ontoemergeplan_tx018.ttl,ferreira2015ontoemergeplan,2
