class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Agent,category,category,True,False,False,0,10
Author,rolemixin,rolemixin,False,False,True,1,3
Captain,role,role,False,True,False,2,0
Discoverer,role,role,False,True,False,2,0
License_Holder,rolemixin,rolemixin,False,True,False,1,0
Organization,kind,kind,False,True,False,1,0
Painter,role,role,False,True,False,3,0
Person,kind,kind,False,False,True,1,5
Publisher,rolemixin,rolemixin,False,True,False,1,0
Sculptor,role,role,False,True,False,3,0
Writer,role,role,False,True,False,3,0
