execution_number,input_class_name,input_class_stereotype
1,Abstract_Class,subkind
2,Abstract_Method,subkind
3,Accessor_Method,subkind
4,Attribute_(Member_Variable),subkind
5,Class,kind
6,Class_Method,subkind
7,Class_Variable,subkind
8,Concrete_Class,subkind
9,Concrete_Method,subkind
10,Constructor_Method,subkind
11,Destructor_Method,subkind
12,Extendable_Class,subkind
13,Generic_Class,subkind
14,Generic_Method,subkind
15,Instance_Method,subkind
16,Instance_Variable,subkind
17,Local_Variable,subkind
18,Member,category
19,Method_(Member_Function),kind
20,Method_Variable,subkind
21,Named_Element,category
22,Nested_Class,role
23,Non-Extendable_Class,subkind
24,Non-Overridable_Method,subkind
25,Overridable_Method,subkind
26,Parameter_Variabe,subkind
27,Primitive_Type,subkind
28,Root_Class,subkind
29,Subclass,role
30,Superclass,role
31,Type,category
32,Variable,kind
