execution_number,input_class_name,input_class_stereotype
1,LithologicUnit_qua_sandstone,kind
2,LithologicUnit_qua_shale,kind
3,Lithological_unit,kind
4,Reservoir,role
5,Seal,role
6,Source_Rock,role
