execution_number,input_class_name,input_class_stereotype
1,Building,subkind
2,Field,subkind
3,Implement,subkind
4,Input,subkind
5,Machinery,subkind
6,NormativeDescription,subkind
7,Output,subkind
8,PhysicalObject,kind
9,Place,subkind
10,Powered,subkind
11,Product,subkind
12,Resource,subkind
13,ServiceOrder,subkind
14,SocialObject,subkind
15,Tool,subkind
16,Vehicle,subkind
