percentage,execution_number
25,1
35,3
45,3
55,1
55,3
60,5
65,2
65,3
65,4
70,1
70,2
75,1
75,3
75,5
80,2
80,3
80,4
85,2
85,3
85,4
90,1
90,3
90,4
90,5
95,1
95,2
95,3
95,4
95,5
