execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,8.950009942054749e-05,1.2100208550691605e-05,1.1899974197149277e-05,7.799826562404633e-06,0.0002558003179728985,8.200295269489288e-06,5.600042641162872e-06,1.0899733752012253e-05,2.1997839212417603e-06,1.2400560081005096e-05,9.770039469003677e-05,8.959975093603134e-05,0.0001520998775959015,1.9099563360214233e-05,1.219986006617546e-05,0.000787100289016962
2,1.4500226825475693e-05,1.29002146422863e-05,1.1499971151351929e-05,7.700175046920776e-06,0.00037769973278045654,9.499955922365189e-06,6.00004568696022e-06,1.0800082236528397e-05,2.200249582529068e-06,0.005663999821990728,9.439978748559952e-05,9.279977530241013e-05,0.0002201995812356472,1.820037141442299e-05,1.5900004655122757e-05,0.006558299995958805
3,1.2800097465515137e-05,1.2499745935201645e-05,1.1900439858436584e-05,7.400289177894592e-06,0.00030980026349425316,8.899718523025513e-06,6.299931555986404e-06,1.12997367978096e-05,2.200249582529068e-06,0.005586099810898304,9.670015424489975e-05,9.410036727786064e-05,0.0002478999085724354,1.7599668353796005e-05,1.2400094419717789e-05,0.006437900476157665
4,1.2899748980998993e-05,1.29002146422863e-05,1.1399853974580765e-05,7.4999406933784485e-06,0.0002997000701725483,8.100178092718124e-06,5.7998113334178925e-06,1.0599847882986069e-05,2.00001522898674e-06,0.00559900002554059,9.709969162940979e-05,9.439978748559952e-05,0.00021040020510554314,1.7399899661540985e-05,1.1799857020378113e-05,0.0064009991474449635
