taxonomy_name,dataset_name,num_classes
sikora2021online-education_tx001.ttl,sikora2021online-education,27
sikora2021online-education_tx002.ttl,sikora2021online-education,6
sikora2021online-education_tx003.ttl,sikora2021online-education,3
sikora2021online-education_tx004.ttl,sikora2021online-education,3
sikora2021online-education_tx005.ttl,sikora2021online-education,3
sikora2021online-education_tx006.ttl,sikora2021online-education,4
