class_name,class_original_classification,classification_final_list
Book,kind,is
Collection,kind,can
Comment,subkind,is
Commentable,category,is
Corporate_Resource,category,can
Course,kind,can
Creatable,category,can
Creation,subkind,can
Deletable,category,is
Delete,subkind,can
Edit,subkind,can
Editable,category,is
Follow,subkind,can
Interaction,kind,is
Learning_Path,kind,can
Link,kind,is
Podcast,kind,can
Private_Interaction,subkind,can
Public_Interaction,subkind,is
Public_Resource,category,is
Resource,category,is
Search,subkind,can
Upvotable,category,is
Upvote,subkind,is
Video,kind,can
View,subkind,is
Viewable,category,is
