execution_number,input_class_name,input_class_stereotype
1,Atomic_Commitment,kind
2,Atomic_OE_Activity,kind
3,Civil_Defense_Organization_Intention,kind
4,Closed_Commitment,kind
5,Commitment,kind
6,Complex_Commitment,kind
7,Complex_OE_Activity,kind
8,General_OE_Process,kind
9,Intention,kind
10,Mitigation_activity,kind
11,OE_Activity,kind
12,OE_Process,kind
13,Open_Commitment,kind
14,Organization_Holder_Intention,kind
15,Preventive_activity,kind
16,Protect_Intention,kind
17,Specific_OE_Process,kind
18,Transfer_activity,kind
