execution_number,input_class_name,input_class_stereotype
1,Agent,category
2,Airbnb_Home_Renter,rolemixin
3,Airbnb_Home_Seeker,rolemixin
4,Airbnb_Homeowner,rolemixin
5,B2B_Platform_Customer,role
6,B2B_Platform_Provider,role
7,B2C_Platform_Customer,role
8,B2C_Platform_Provider,role
9,C2C_Platform_Customer,role
10,C2C_Platform_Provider,role
11,Capital-Giving_Agent,rolemixin
12,Capital-Seeking_Agent,rolemixin
13,Centralized_Platform_Customer,rolemixin
14,Centralized_Target_Platform_Customer,rolemixin
15,Content_Consumer,rolemixin
16,Content_Creator,rolemixin
17,Decentralized_Platform_Customer,rolemixin
18,Decentralized_Target_Platform_Customer,rolemixin
19,Immediate_Access_Customer,rolemixin
20,Logged_In_User,rolemixin
21,MS_Platform_User,rolemixin
22,Marketplace_Company,rolemixin
23,Non-Peer_User,rolemixin
24,Offering_Creator,rolemixin
25,One-Sided_Platform_User,rolemixin
26,Organization,kind
27,Payment_Provider,subkind
28,Peer_Consumer,rolemixin
29,Peer_Creator,rolemixin
30,Peer_User,rolemixin
31,Person,kind
32,Platform_Company,rolemixin
33,Platform_Customer,rolemixin
34,Platform_Customer_of_Offline_Physical_Good,rolemixin
35,Platform_Provider,rolemixin
36,Platform_Service_Provider,rolemixin
37,Platform_User,rolemixin
38,Platform_Visitor,rolemixin
39,Private_Airbnb_Homeowner,role
40,Private_Customer,subkind
41,Registered_User,rolemixin
42,SafaRide_Customer,rolemixin
43,SafaRide_Trip_Provider,rolemixin
44,Subscribed_Platform_User,rolemixin
45,Target_Platform_Customer,rolemixin
46,Target_Platform_User,rolemixin
47,Transaction_Platform_Company,rolemixin
48,Uber_Eats_Customer,role
49,Uber_Eats_Restaurant,role
50,Uber_Eats_Rider,rolemixin
51,Worker,rolemixin
52,immediate_Access_Provider,rolemixin
53,jobDropper,rolemixin
