class_name,class_original_classification,classification_final_list
Autarchy,subkind,can
Company,kind,is
Foundation,subkind,can
MixedEconomyCompany,phase,is
NonEmpresarialPublicEntity,kind,can
Organization,category,can
OrganizationalUnit,category,is
PublicAdmnistrativeUnit,subkind,is
PublicCompany,phase,is
PublicEntity,category,is
PublicOrganization,category,is
StateCompany,phase,can
UnityOfOrganization,kind,is
�rg�o,kind,can
�rg�o_Colegiado,kind,is
