execution_number,input_class_name,input_class_stereotype
1,Artifact,category
2,CASE_Tool,subkind
3,Composite_Artifact,category
4,Document,kind
5,Document_Template,kind
6,Hardware_Equipment,kind
7,Hardware_Resource,role
8,Information_Item,kind
9,Method,kind
10,Model,kind
11,Procedure,category
12,Resource,rolemixin
13,Simple_Artifact,category
14,Software_Item,kind
15,Software_Product,kind
16,Software_Project,subkind
17,Software_Resource,role
18,Standard_Process_Definition_Document,kind
19,Technique,kind
