execution_number,input_class_name,input_class_stereotype
1,Agent,category
2,Agent_Trustee,rolemixin
3,Aspectual_Belief,kind
4,Atomic_Intention,category
5,Belief,category
6,Capability_Belief,role
7,Complex_Intention,category
8,Desire,category
9,Disposition_Belief,subkind
10,Endurant,category
11,Intention,category
12,Intention_Belief,subkind
13,Mental_Moment,category
14,Moment,category
15,Object,category
16,Perception,category
17,Social_System,kind
18,Social_System_Trustee,role
19,Substantial,category
20,Trust-Warranting_Signal,rolemixin
21,Trust_Calibration_Signal,rolemixin
22,Trustee,rolemixin
23,Trustor,rolemixin
24,Trustworthiness_Evidence,category
25,Uncertainty_Signal,rolemixin
26,Vulnerability_Belief,role
