class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Bitstring,category,category,False,False,True,4,2
Component_Part,category,category,False,True,False,1,0
Data_File,category,category,False,True,False,5,0
Hybrid,category,category,False,True,False,1,0
Material,category,category,False,True,False,1,0
Nonmaterial,category,category,False,False,True,2,4
Object,category,category,True,False,False,0,10
Physical_Object,category,category,False,True,False,1,0
Program_File,category,category,False,True,False,5,0
Social_Object,category,category,False,False,True,1,5
Syntactic_Object,category,category,False,False,True,3,3
