execution_number,input_class_name,input_class_stereotype
1,Client_Path_Layer,role
2,Client_Section_Layer,role
3,Composed_PM_Layer,role
4,LC_Composed_Layer_Network,role
5,Layer_Network,kind
6,Matrix_Composed_Path_Layer,role
7,Path-Path_Client_Layer,role
8,Path-Section_Client_Layer,role
9,Path_Layer_Network,role
10,Path_Layer_Network_2,subkind
11,Physical_Media_Layer_Network,subkind
12,Related_Layer_Network,role
13,Section_Layer_Network,subkind
14,Server_Path_Layer,role
15,Server_Physical_Media_Layer,role
16,Server_Section_Layer,role
17,Subnetwork_Composed_Path_Layer,role
18,Transmission_Media_Layer_Network,subkind
