execution_number,input_class_name,input_class_stereotype
1,A-FP,category
2,A_-_LPF_Source_Connected,role
3,A_-_Layer_Processor_Sink_Connected,role
4,A_Sk_-_Termination_Sink_Connected,role
5,A_Sk_-_Uni_Matrix_Connected,role
6,A_Sk_-_Uni_Subnetwork_Connected,role
7,A_Sk_Input_-_Sk_AP_Bound,role
8,A_Sk_Output_-_A-FP_Bound,role
9,A_Sk_Output_-_Sk_A-FEP_Bound,role
10,A_Sk_Output_-_Sk_LP-FP_Bound,role
11,A_Sk_Output_-_Sk_M-FP_Bound,role
12,A_Sk_Output_-_Sk_SN-FP_Bound,role
13,A_So_-_Adaptation_Sink_Connected,role
14,A_So_-_Termination_Source_Connected,role
15,A_So_-_Uni_Matrix_Connected,role
16,A_So_-_Uni_Subnetwork_Connected,role
17,A_So_Input_-_A-FP_Bound,role
18,A_So_Input_-_So_A-FEP_Bound,role
19,A_So_Input_-_So_L-FP_Bound,role
20,A_So_Input_-_So_M-FP_Bound,role
21,A_So_Input_-_So_SN-FP_Bound,role
22,A_So_Output_-_So_AP_Bound,role
23,Access_Group,kind
24,Access_Point,category
25,Access_Transport_Entity,kind
26,Active_Bidirectional_AP,role
27,Active_Bidirectional_PM-FEP_-_PM_LC_Connected,role
28,Active_Bidirectional_PM-FEP_-_PM_NC_Connected,role
29,Active_Bidirectional_Path_FEP_-_Path_NC_Connected,rolemixin
30,Active_End_Bidirectional_SN-FEP,role
31,Active_Intermediate_Bidirectional_M-FP,role
32,Active_Intermediate_Bidirectional_SN-FP,role
33,Active_Path_Bidirectional_M-FEP,role
34,Active_Path_Bidirectional_M-FP,role
35,Active_Path_Bidirectional_SN-FEP,role
36,Active_Path_Bidirectional_SN-FP,role
37,Active_Possible_Bi_LC_Connected_RP,rolemixin
38,Active_Sink_AP,role
39,Active_Sk_M-FEP_-_Sk_MC_connected,role
40,Active_Sk_M-FP_-_Int_MC_connected,role
41,Active_Sk_M-FP_-_Sk_MC_connected,role
42,Active_Sk_PM-FEP_-_PM_LC_connected,role
43,Active_Sk_PM-FEP_-_PM_NC_connected,role
44,Active_Sk_Path-FEP_-_Path_NC_connected,rolemixin
45,Active_Sk_SN-FEP_-_End_CFTE_connected,role
46,Active_Sk_SN-FEP_-_Sk_CFTE_connected,role
47,Active_Sk_SN-FP_-_Int_CFTE_connected,role
48,Active_Sk_SN-FP_-_Sk_CFTE_connected,role
49,Active_So_M-FEP_-_So_MC_connected,role
50,Active_So_M-FP_-_Int_MC_connected,role
51,Active_So_M-FP_-_So_MC_connected,role
52,Active_So_PM-FEP_-_PM_LC_connected,role
53,Active_So_PM-FEP_-_PM_NC_connected,role
54,Active_So_Path-FEP_-_Path_NC_connected,rolemixin
55,Active_So_SN-FEP_-_End_CFTE_connected,role
56,Active_So_SN-FEP_-_So_CFTE_connected,role
57,Active_So_SN-FP_-_Int_CFTE_connected,role
58,Active_So_SN-FP_-_So_CFTE_connected,role
59,Active_Source_AP,role
60,Adaptation_Function,kind
61,Adaptation_Sink,subkind
62,Adaptation_Sink_-_A_So_Connected,role
63,Adaptation_Sink_-_T_Sk_Connected,role
64,Adaptation_Sink_Input,kind
65,Adaptation_Sink_Output,kind
66,Adaptation_Sk_Bidirectional_Component,subkind
67,Adaptation_So_Bidirectional_Component,subkind
68,Adaptation_Source,subkind
69,Adaptation_Source_-_T_So_Connected,role
70,Adaptation_Source_Input,kind
71,Adaptation_Source_Output,kind
72,Ag_PM_-_Bidirectional_Termination_Connected,role
73,Aggregated_Physical_Media,kind
74,Architectural_Component,category
75,Bi_A_-_Bi_Matrix_Connected,role
76,Bi_A_-_Bi_Subnetwork_Connected,role
77,Bi_A_-_Bidirectional_Termination_Connected,role
78,Bi_End_CFTE,subkind
79,Bi_Intermediate_CFTE,subkind
80,Bi_Intermediate_MC,subkind
81,Bi_M_-_Bidirectional_Termination_Connected,role
82,Bi_Matrix_-_A_Bi_Connected,role
83,Bi_PM_LC,subkind
84,Bi_Path_CFTE,subkind
85,Bi_Path_LC,subkind
86,Bi_Path_MC,subkind
87,Bi_SN_-_Bidirectional_Termination_Connected,role
88,Bi_Subnetwork_-_A_Bi_Connected,role
89,Bi_Termination_-_Bidirectional_A_Connected,role
90,Bidirectional_A-FEP,kind
91,Bidirectional_A-FP,kind
92,Bidirectional_AP,kind
93,Bidirectional_Access_Transport_Entity,subkind
94,Bidirectional_Adaptation,subkind
95,Bidirectional_Adaptation_-_Bi_A_Connected,role
96,Bidirectional_Adaptation_-_Bi_T_Connected,role
97,Bidirectional_Adaptation_-_LPF_Bi_Connected,role
98,Bidirectional_CFTE,subkind
99,Bidirectional_Connected_Subnetwork,role
100,Bidirectional_FEP,category
101,Bidirectional_LC,subkind
102,Bidirectional_LPF_-_Bi_Termination_Connected,role
103,Bidirectional_Layer_Processor_-_A_Bi_Connected,role
104,Bidirectional_Layer_Processor_Function,kind
105,Bidirectional_M-FEP,kind
106,Bidirectional_M-FP,kind
107,Bidirectional_MC,subkind
108,Bidirectional_Matrix,kind
109,Bidirectional_NC,subkind
110,Bidirectional_PM-FEP,kind
111,Bidirectional_PM_NC,subkind
112,Bidirectional_Path_FEP,category
113,Bidirectional_Path_NC,subkind
114,Bidirectional_SN-FEP,kind
115,Bidirectional_SN-FP,kind
116,Bidirectional_Sink-Source_Matrix,subkind
117,Bidirectional_Termination,subkind
118,Bidirectional_Termination_-_Ag_PM_Connected,role
119,Bidirectional_Termination_-_Bi_A_Connected,role
120,Bidirectional_Termination_-_Bi_LPF_Connection,role
121,Bidirectional_Termination_-_Bi_M_Connected,role
122,Bidirectional_Termination_-_Bi_SN_Connected,role
123,Bound_Input-Output,rolemixin
124,Bound_Transport_Function,rolemixin
125,Channel_Forwarding_Transport_Entity,kind
126,Co-located_Termination,phase
127,Component_LPF,role
128,Component_Matrix,rolemixin
129,Component_Subnetwork,role
130,Composed_AG,subkind
131,Composed_Topological_Layer,role
132,Connected_Reference_Point,rolemixin
133,Connected_Relatable_TC,rolemixin
134,Connected_Unidirectional_Matrix,role
135,Defined_Geographical_Element,category
136,Directly_Bound_Reference_Point,category
137,Directly_Connected_Transport_Entity,category
138,Egress_LC,rolemixin
139,Egress_MC_Sk,role
140,Egress_MC_Sk-So,role
141,Egress_MC_So,role
142,Egress_SN_Sk,role
143,Egress_SN_Sk-So,role
144,Egress_SN_Sk-So_2,role
145,Egress_SN_So,role
146,End_CFTE,subkind
147,End_CFTE_Bi_Component,role
148,Forwarding_End_Point,category
149,Forwarding_Function,kind
150,Forwarding_Function_CFTE,subkind
151,Forwarding_Function_CFTE_Sk,role
152,Forwarding_Function_CFTE_Sk-So,role
153,Forwarding_Function_CFTE_So,role
154,Forwarding_Function_CFTE_So-Sk,role
155,Forwarding_Function_LC,subkind
156,Forwarding_Function_LC_Connected,role
157,Forwarding_Function_Matrix,subkind
158,Forwarding_Function_Sk-So_Connected,role
159,Forwarding_Function_Sk_M_Connected,role
160,Forwarding_Function_So_M_Connected,role
161,Forwarding_Point,category
162,Geographical_Element,category
163,Geographical_Element_With_Alias,category
164,Ingress_LC,rolemixin
165,Ingress_MC_Sk,role
166,Ingress_MC_Sk-So,role
167,Ingress_MC_So,role
168,Ingress_SN_Sk,role
169,Ingress_SN_Sk-So,role
170,Ingress_SN_So,role
171,Ingress_SN_So-Sk,role
172,Input,category
173,Intermediate_CFTE,subkind
174,Intermediate_CFTE_Bi_Component,role
