execution_number,input_class_name,input_class_stereotype
1,A-FP_Binding,kind
2,Binding,kind
3,Sink_A-FEP_Binding,kind
4,Sink_AP_Binding,kind
5,Sink_LPF-FEP_Bound,kind
6,Sink_M-FEP_Binding,kind
7,Sink_M-FP_Binding,kind
8,Sink_PM-FEP_Binding,kind
9,Sink_SN-FEP_Binding,kind
10,Sink_SN-FP_Binding,kind
11,Source_A-FEP_Binding,kind
12,Source_AP_Binding,kind
13,Source_L-FP_Binding,kind
14,Source_LPF-FEP_Binding,kind
15,Source_M-FEP_Binding,kind
16,Source_M-FP_Binding,kind
17,Source_PM-FEP_Binding,kind
18,Source_SN-FEP_Binding,kind
19,Source_SN-FP_Binding,kind
