execution_number,input_class_name,input_class_stereotype
1,Anguish,subkind
2,Despair,subkind
3,Disapointment,subkind
4,Discouragement,subkind
5,Distraughtness,subkind
6,Grief,subkind
7,Helplessness,subkind
8,Hopelessness,subkind
9,Misery,subkind
10,Resignation,subkind
11,Sadness,kind
12,Sorrow,subkind
