execution_number,input_class_name,input_class_stereotype
1,Application-based,subkind
2,DBMS-based,subkind
3,Data_Replication,kind
4,Host-based,subkind
5,ITSC_Component,category
6,Local_Replication,subkind
7,Media_Backup/Restore,subkind
8,Remote_Replication,subkind
9,Resilient_Network,category
10,Site_Model,kind
11,Storage-based,subkind
