taxonomy_name,percentage,execution_number
albuquerque2011ontobio_tx002.ttl,20,4
albuquerque2011ontobio_tx002.ttl,30,8
albuquerque2011ontobio_tx002.ttl,30,10
albuquerque2011ontobio_tx002.ttl,40,10
albuquerque2011ontobio_tx002.ttl,50,9
albuquerque2011ontobio_tx002.ttl,60,2
albuquerque2011ontobio_tx002.ttl,60,4
albuquerque2011ontobio_tx002.ttl,60,5
albuquerque2011ontobio_tx002.ttl,60,6
albuquerque2011ontobio_tx002.ttl,70,1
albuquerque2011ontobio_tx002.ttl,70,2
albuquerque2011ontobio_tx002.ttl,70,3
albuquerque2011ontobio_tx002.ttl,70,4
albuquerque2011ontobio_tx002.ttl,70,6
albuquerque2011ontobio_tx002.ttl,70,7
albuquerque2011ontobio_tx002.ttl,70,9
albuquerque2011ontobio_tx002.ttl,70,10
albuquerque2011ontobio_tx002.ttl,80,1
albuquerque2011ontobio_tx002.ttl,80,2
albuquerque2011ontobio_tx002.ttl,80,3
albuquerque2011ontobio_tx002.ttl,80,5
albuquerque2011ontobio_tx002.ttl,80,6
albuquerque2011ontobio_tx002.ttl,80,7
albuquerque2011ontobio_tx002.ttl,80,9
albuquerque2011ontobio_tx002.ttl,90,1
albuquerque2011ontobio_tx002.ttl,90,3
albuquerque2011ontobio_tx002.ttl,90,4
albuquerque2011ontobio_tx002.ttl,90,5
albuquerque2011ontobio_tx002.ttl,90,6
albuquerque2011ontobio_tx002.ttl,90,8
albuquerque2011ontobio_tx002.ttl,90,9
albuquerque2011ontobio_tx002.ttl,90,10
barcelos2015transport-networks_tx001.ttl,10,7
barcelos2015transport-networks_tx001.ttl,20,2
barcelos2015transport-networks_tx001.ttl,20,3
barcelos2015transport-networks_tx001.ttl,20,4
barcelos2015transport-networks_tx001.ttl,20,7
barcelos2015transport-networks_tx001.ttl,20,9
barcelos2015transport-networks_tx001.ttl,30,1
barcelos2015transport-networks_tx001.ttl,30,2
barcelos2015transport-networks_tx001.ttl,30,3
