taxonomy_name,dataset_name,num_mapped_classes,num_other_classes,num_classes
buridan-ontology2021_tx002.ttl,buridan-ontology2021,3,0,3
buridan-ontology2021_tx003.ttl,buridan-ontology2021,6,0,6
buridan-ontology2021_tx004.ttl,buridan-ontology2021,9,0,9
buridan-ontology2021_tx005.ttl,buridan-ontology2021,16,0,16
buridan-ontology2021_tx006.ttl,buridan-ontology2021,3,0,3
carolla2014campus-management_tx001.ttl,carolla2014campus-management,4,0,4
carolla2014campus-management_tx002.ttl,carolla2014campus-management,3,0,3
castro2012cloudvulnerability_tx001.ttl,castro2012cloudvulnerability,4,0,4
castro2012cloudvulnerability_tx002.ttl,castro2012cloudvulnerability,6,0,6
castro2012cloudvulnerability_tx003.ttl,castro2012cloudvulnerability,3,0,3
castro2012cloudvulnerability_tx004.ttl,castro2012cloudvulnerability,8,0,8
castro2012cloudvulnerability_tx005.ttl,castro2012cloudvulnerability,3,0,3
cgts2021sebim_tx001.ttl,cgts2021sebim,13,0,13
cgts2021sebim_tx002.ttl,cgts2021sebim,5,0,5
cgts2021sebim_tx003.ttl,cgts2021sebim,4,0,4
clergy-ontology_tx001.ttl,clergy-ontology,17,0,17
cmpo2017_tx001.ttl,cmpo2017,23,2,25
cmpo2017_tx002.ttl,cmpo2017,7,0,7
cmpo2017_tx003.ttl,cmpo2017,0,18,18
cmpo2017_tx004.ttl,cmpo2017,0,4,4
construction-model_tx001.ttl,construction-model,7,0,7
debbech2019gosmo_tx001.ttl,debbech2019gosmo,0,3,3
debbech2019gosmo_tx002.ttl,debbech2019gosmo,0,2,2
debbech2019gosmo_tx003.ttl,debbech2019gosmo,0,2,2
debbech2019gosmo_tx004.ttl,debbech2019gosmo,0,3,3
debbech2019gosmo_tx005.ttl,debbech2019gosmo,0,2,2
debbech2019gosmo_tx006.ttl,debbech2019gosmo,0,3,3
debbech2019gosmo_tx007.ttl,debbech2019gosmo,0,3,3
debbech2019gosmo_tx008.ttl,debbech2019gosmo,0,2,2
debbech2020dysfunction-analysis_tx001.ttl,debbech2020dysfunction-analysis,0,5,5
debbech2020dysfunction-analysis_tx002.ttl,debbech2020dysfunction-analysis,0,2,2
debbech2020dysfunction-analysis_tx003.ttl,debbech2020dysfunction-analysis,0,4,4
debbech2020dysfunction-analysis_tx004.ttl,debbech2020dysfunction-analysis,0,7,7
debbech2020dysfunction-analysis_tx005.ttl,debbech2020dysfunction-analysis,0,5,5
debbech2020dysfunction-analysis_tx006.ttl,debbech2020dysfunction-analysis,0,2,2
debbech2020dysfunction-analysis_tx007.ttl,debbech2020dysfunction-analysis,0,2,2
debbech2020dysfunction-analysis_tx008.ttl,debbech2020dysfunction-analysis,0,3,3
debbech2020dysfunction-analysis_tx009.ttl,debbech2020dysfunction-analysis,0,6,6
derave2019dpo_tx001.ttl,derave2019dpo,53,0,53
derave2019dpo_tx002.ttl,derave2019dpo,4,0,4
derave2019dpo_tx003.ttl,derave2019dpo,1,2,3
derave2019dpo_tx004.ttl,derave2019dpo,2,0,2
derave2019dpo_tx005.ttl,derave2019dpo,12,0,12
derave2019dpo_tx006.ttl,derave2019dpo,0,5,5
derave2019dpo_tx007.ttl,derave2019dpo,5,0,5
derave2019dpo_tx008.ttl,derave2019dpo,0,58,58
derave2019dpo_tx009.ttl,derave2019dpo,13,0,13
derave2019dpo_tx010.ttl,derave2019dpo,3,0,3
