percentage,execution_number
20,1
20,5
25,4
30,1
35,2
35,3
35,5
40,2
40,5
45,2
45,3
45,4
50,4
50,5
55,2
55,3
55,4
55,5
60,1
60,2
60,4
65,2
65,3
65,4
70,1
70,2
70,3
70,4
70,5
75,1
75,2
75,3
75,4
75,5
80,3
80,4
80,5
85,1
85,2
85,3
85,4
85,5
90,1
90,2
90,3
90,4
90,5
95,1
95,2
95,3
95,4
95,5
