taxonomy_name,dataset_name,num_classes
maddalena2021ontocovid_tx001.ttl,maddalena2021ontocovid,4
maddalena2021ontocovid_tx002.ttl,maddalena2021ontocovid,2
maddalena2021ontocovid_tx003.ttl,maddalena2021ontocovid,3
maddalena2021ontocovid_tx004.ttl,maddalena2021ontocovid,4
maddalena2021ontocovid_tx005.ttl,maddalena2021ontocovid,14
maddalena2021ontocovid_tx006.ttl,maddalena2021ontocovid,4
maddalena2021ontocovid_tx007.ttl,maddalena2021ontocovid,16
maddalena2021ontocovid_tx008.ttl,maddalena2021ontocovid,3
maddalena2021ontocovid_tx009.ttl,maddalena2021ontocovid,4
maddalena2021ontocovid_tx010.ttl,maddalena2021ontocovid,2
