execution_number,inconsistent_class_name,inconsistent_class_stereotype
2,Plano_de_Outorga_com_Subs�dio_de_Pesquisa_Operacional,role
3,Plano_de_Outorga_com_Subs�dio_de_Pesquisa_de_Ativos_e_Custos,role
