execution_number,input_class_name,input_class_stereotype
1,Assentamento,kind
2,Buraco,kind
3,Defeito_de_Trecho_Rodoviário,kind
4,Defeito_na_Balança,kind
5,Defeito_na_Drenagem,kind
6,Defeito_na_Faixa_de_Domínio,kind
7,Defeito_na_Interseção,kind
8,Defeito_na_Ponte,kind
9,Defeito_na_Sinalização_Rodoviária,kind
10,Defeito_no_Canteiro_Central,kind
11,Defeito_no_Componente_de_Iluminação,kind
12,Defeito_no_Pavimento,kind
13,Defeito_no_Túnel,kind
14,Degradação,kind
15,Depressão,kind
16,Desgaste,kind
17,Desnível,kind
18,Escalonamento,kind
19,Escorregamento,kind
20,Fenda,kind
21,Fissura,kind
22,Ondulação,kind
23,Quebra,kind
24,Trilha_de_Roda,kind
25,Trinca,kind
