execution_number,input_class_name,input_class_stereotype
1,_Detained_Group__Detained_Group,role
2,_Detained_Person__Detained_Person,role
3,_Human_Rights_Mechanism__Human_Rights_Mechanism,subkind
4,_Monitoring_Action_Participant__Monitoring_Event_Participant,role
5,_Natural_Person__Person,kind
6,_Organisation_Member__Member,role
7,_Perpetrator__Perpetrator,rolemixin
8,_UFO-C:_Agent__Agent,category
9,_UFO-C:_Social_Agent__Organisation_OR_Group,kind
10,_Victim__Victim,rolemixin
