class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Agente,category,category,True,False,False,0,7
Agente_Humano,kind,kind,False,False,True,1,4
Agente_Sint�tico,kind,kind,False,True,False,1,0
Estudante,role,role,False,True,False,2,0
Mediado,role,role,False,True,False,2,0
Mediador,role,role,False,True,False,1,0
Pesquisador,role,role,False,True,False,2,0
Professor,role,role,False,True,False,2,0
