execution_number,input_class_name,input_class_stereotype
1,Concept_Defining_Recommendation,subkind
2,Concept_Referencing_Recommendation,subkind
3,Indirectly_Recommendation_Referenced_Recomendation,subkind
4,Indirectly_Recommendation_Referencing_Recomendation,subkind
5,Possibly_Problematic_Recommendation,subkind
6,Problematic_Recommendation,subkind
7,Recommendation_Referenced_Recomendation,subkind
8,Recommendation_Referencing_Recomendation,subkind
9,Recommendation_Version,kind
