execution_number,input_class_name,input_class_stereotype
1,Consequence_For_Resulting_Event_Agent,kind
2,Consequence_On_Collective,subkind
3,Consequence_On_Person,subkind
4,Economical_Consequence,subkind
5,Goal_Transfer_From_Sender,subkind
6,Goal_Transfer_From_Sender_To_Influence_Third_Agent,subkind
7,Guarantees_Of_Non-Repetition,subkind
8,Integrity_Consequence,subkind
9,Justice,subkind
10,Legal_Consequence,subkind
11,Memory,subkind
12,Negative_Consequence_On_Agent,subkind
13,Physical_Consequence,subkind
14,Positive_Consequence_On_Agent,subkind
15,Psychological_Consequence,subkind
16,Remedy,subkind
17,Reparation,subkind
18,Reputational_Consequence,subkind
19,Territorial_Consequence,subkind
20,Truth,subkind
