taxonomy_name,dataset_name,num_classes
lindeberg2022full-ontorights_tx001.ttl,lindeberg2022full-ontorights,20
lindeberg2022full-ontorights_tx002.ttl,lindeberg2022full-ontorights,6
lindeberg2022full-ontorights_tx003.ttl,lindeberg2022full-ontorights,3
lindeberg2022full-ontorights_tx004.ttl,lindeberg2022full-ontorights,5
lindeberg2022full-ontorights_tx005.ttl,lindeberg2022full-ontorights,16
lindeberg2022full-ontorights_tx006.ttl,lindeberg2022full-ontorights,8
lindeberg2022full-ontorights_tx007.ttl,lindeberg2022full-ontorights,3
lindeberg2022full-ontorights_tx008.ttl,lindeberg2022full-ontorights,9
lindeberg2022full-ontorights_tx009.ttl,lindeberg2022full-ontorights,6
lindeberg2022full-ontorights_tx010.ttl,lindeberg2022full-ontorights,5
lindeberg2022full-ontorights_tx011.ttl,lindeberg2022full-ontorights,62
lindeberg2022full-ontorights_tx012.ttl,lindeberg2022full-ontorights,5
lindeberg2022full-ontorights_tx013.ttl,lindeberg2022full-ontorights,13
lindeberg2022full-ontorights_tx014.ttl,lindeberg2022full-ontorights,3
