class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Test(t),kind,kind,True,False,False,0,2
t_non_passed,phase,phase,False,True,False,1,0
t_passed,phase,phase,False,True,False,1,0
