class_name,class_original_classification,classification_final_list
Artifact,category,can
Composite_Artifact,category,is
Data_Definitions,subkind,is
Data_Model,subkind,can
Design_Document,subkind,is
Design_Evaluation_Document,subkind,can
Document,kind,can
Information_Item,kind,can
Interface_Specification,subkind,can
Model,kind,is
Requirements_Document,subkind,can
Simple_Artifact,category,is
Software_Architecture,subkind,is
Software_Item,kind,can
Software_Product,kind,is
User_Interface_Specification,subkind,is
