execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,9.299954399466515e-06,8.500064723193645e-06,8.999952115118504e-06,7.579987868666649e-05,8.400063961744308e-06,7.35999783501029e-05,8.800067007541656e-06,1.800013706088066e-06,8.800067007541656e-06,1.0399962775409222e-05,4.999921657145023e-06,0.00047289999201893806,4.900037311017513e-06,4.600035026669502e-06,6.00004568696022e-06,0.0007078000344336033
2,9.70007386058569e-06,8.819997310638428e-05,9.899958968162537e-06,8.800067007541656e-06,7.859990000724792e-05,0.002687699976377189,1.1199968867003918e-05,2.200016751885414e-06,9.399838745594025e-06,1.1900090612471104e-05,5.600042641162872e-06,4.399917088449001e-06,0.00020420004148036242,0.0001735000405460596,5.899928510189056e-06,0.0033111998345702887
3,1.0100076906383038e-05,7.920002099126577e-05,9.899958968162537e-06,9.199953638017178e-06,7.960002403706312e-05,0.002999299904331565,1.0799849405884743e-05,1.800013706088066e-06,9.800074622035027e-06,1.2499978765845299e-05,5.600042641162872e-06,5.00003807246685e-06,0.00020919996313750744,0.000130099942907691,5.700043402612209e-06,0.00357779988553375
4,9.600073099136353e-06,7.890001870691776e-05,9.499955922365189e-06,8.70006624609232e-06,7.499998901039362e-05,0.0023604000452905893,9.799841791391373e-06,1.9000144675374031e-06,9.200070053339005e-06,1.1300086043775082e-05,5.500041879713535e-06,4.400033503770828e-06,0.00020100001711398363,0.00012649991549551487,6.00004568696022e-06,0.0029177002143114805
5,9.70007386058569e-06,8.479994721710682e-05,9.70007386058569e-06,8.799834176898003e-06,7.640011608600616e-05,0.0024304998805746436,1.009996049106121e-05,1.800013706088066e-06,9.300070814788342e-06,1.1499971151351929e-05,5.900044925510883e-06,4.700035788118839e-06,0.0001984999980777502,0.00013230007607489824,5.999929271638393e-06,0.003000000026077032
