execution_number,input_class_name,input_class_stereotype
1,Artifact,category
2,Base_Table,subkind
3,Check_Constraint,subkind
4,Column_Constraint,subkind
5,Column_Type_Constraint,subkind
6,Constraint,kind
7,DBMS,subkind
8,DBMS_Account,kind
9,DBMS_Item,category
10,Data_File,kind
11,Data_Schema,subkind
12,Data_Type_Constraint,subkind
13,Database,kind
14,Derived_Table,subkind
15,Dictionary,kind
16,Foreign_Key_Constraint,subkind
17,Information_Schema,subkind
18,Primary_Key_Constraint,subkind
19,RDBMS,subkind
20,RDBMS_Item,category
21,Relational_Database,subkind
22,Relational_Schema,subkind
23,Schema,kind
24,Software_Item,category
25,Software_System,subkind
26,Table,kind
