execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.580000389367342e-05,0.00013760000001639128,1.660006819292903e-05,1.49000552482903e-05,0.00010120001388713717,0.004763100005220622,1.0400079190731049e-05,1.0200019460171461e-05,9.600014891475439e-06,1.2599979527294636e-05,5.799985956400633e-06,4.699977580457926e-06,0.00025809998624026775,0.00018390000332146883,6.099988240748644e-06,0.005550600180868059
2,0.000103199970908463,0.007342800032347441,0.002058100013528019,1.3199925888329744e-05,0.029357199964579195,7.909996202215552e-05,9.500072337687016e-06,1.0600022505968809e-05,9.699957445263863e-06,1.5899946447461843e-05,5.499983672052622e-06,4.600035026669502e-06,0.0010909000411629677,0.0009340000106021762,6.89999433234334e-06,0.041041199932806194
3,1.0100018698722124e-05,7.750000804662704e-05,9.800074622035027e-06,9.09995287656784e-06,7.660000119358301e-05,0.004653599986340851,1.0500021744519472e-05,9.800016414374113e-06,9.500072337687016e-06,1.2299977242946625e-05,5.799985956400633e-06,4.699977580457926e-06,0.000256099971011281,0.0001789000234566629,6.100046448409557e-06,0.005330400133971125
4,9.90001717582345e-06,7.800001185387373e-05,9.200011845678091e-06,8.500064723193645e-06,7.51999905332923e-05,0.004517299996223301,1.0299962013959885e-05,9.599956683814526e-06,9.200011845678091e-06,1.2599979527294636e-05,5.700043402612209e-06,4.400033503770828e-06,0.0002525000018067658,0.0001721000298857689,5.999987479299307e-06,0.005180500098504126
5,1.0000017937272787e-05,7.770000956952572e-05,1.0000017937272787e-05,8.800008799880743e-06,7.489998824894428e-05,0.004709700006060302,1.0200019460171461e-05,1.0000017937272787e-05,9.400071576237679e-06,1.2300035450607538e-05,5.799985956400633e-06,4.600035026669502e-06,0.00026020000223070383,0.00017559999832883477,6.00004568696022e-06,0.005385200260207057
6,8.899997919797897e-05,0.008654499950353056,0.0019429000676609576,1.9300030544400215e-05,0.02510859997710213,0.0032207000185735524,2.089992631226778e-05,2.2999884095042944e-05,1.850002445280552e-05,2.5900080800056458e-05,1.109996810555458e-05,9.300012607127428e-06,0.007513499993365258,0.0013445999938994646,1.2499978765845299e-05,0.0480142998858355
7,9.029998909682035e-05,0.009391699975822121,0.0021069999784231186,2.5399960577487946e-05,0.028294399904552847,0.0034206999698653817,2.0299979951232672e-05,2.0500097889453173e-05,1.8800084944814444e-05,2.4600070901215076e-05,1.1399970389902592e-05,9.500014130026102e-06,0.009119299938902259,0.0016583999968133867,1.3999990187585354e-05,0.05422629992244765
